'hood	108659519
's gravenhage	108970180
'tween	400252367
'tween decks	400500491
.22	104510146
.22 caliber	303157978
.22 calibre	303157978
.22-caliber	303157978
.22-calibre	303157978
.38 caliber	303158270
.38 calibre	303158270
.38-caliber	303158270
.38-calibre	303158270
.45 caliber	303158563
.45 calibre	303158563
.45-caliber	303158563
.45-calibre	303158563
0	113764498 302193771
1	113764713 302193977
1 chronicles	106447321
1 esdras	106471648
1 kings	106446674
1 maccabees	106472446
1 samuel	106446320
1-dodecanol	114954808
1-hitter	100476153
10	113768652 302194935
10-membered	301507439
100	113772555 302203776
1000	113772984 302206421
10000	113773405
100000	113773544
1000000	113773673
1000000000	113773969
1000000000000	113774312 113774583
1000th	302220142
100th	302217092
101	302203880
101st	302217220
105	302204002
105th	302217347
10th	302211042
11	113768812 302195018
11 november	115210672
11-plus	100638388
110	302204108
110th	302217475
115	302204212
115th	302217602
11th	302211169
12	113768925 302195104
12-tone music	107071579
12-tone system	107071579
120	113772714 302204326
120th	302217737
125	302204438
125th	302217871
12th	302211298
13	113769339 302195245
130	302204560
130th	302218013
135	302204676
135th	302218147
13th	302211432
14	113769488 302195338
14 july	115225328
140	302204799
140th	302218289
144	113772644
145	302204913
145th	302218421
14th	302211537
15	113769609 302195432
15 august 1945	115187929
15 may organization	108056064
15 minutes	115253063
150	302205033
150th	302218561
1530s	115173747
155	302205145
155th	302218693
15th	302211645
16	113769746 302195542
16 pf	106487604
160	302205264
160th	302218833
165	302205377
165th	302218965
16th	302211800
17	113769865 302195634
17 november	108059288
170	302205497
170th	302219105
1728	113773298
175	302205613
1750s	115174893
175th	302219241
1760s	115175264
1770s	115175750
1780s	115176135
1790s	115176521
17th	302211906
18	113770005 302195747
18-karat gold	114663447
180	302205738
180th	302219385
1820s	115173918
1830s	115174231
1840s	115174522
1850s	115174813
1860s	115175184
1870s	115175670
1880s	115176044
1890s	115176430
18th	302212032
19	113770129 302195844
190	302205856
1900s	115173667
190th	302219519
1920s	115173827
1930s	115174140
1940s	115174432
1950s	115174723
1960s	115175094
1970s	115175578
1980s	115175953
1990s	115176339
19th	302212141
1st	302209716
1st baron beaverbrook	110859387
1st baron verulam	110850052
1st class	106275925
1st earl attlee	110847477
1st earl baldwin of bewdley	110851681
1st earl of balfour	110852164
1st lieutenant	110112747
1st viscount montgomery of alamein	111208306
1st-class mail	106275925
2	113765409 302194109
2 chronicles	106447586
2 esdras	106471837
2 kings	106446868
2 maccabees	106472596
2 samuel	106446496
2-dimensional	300663738
2-hitter	100476284
2-hydroxybenzoic acid	115034605
2-methylpropenoic acid	114640000
20	113770268 302195956
20/20	105663655
200	302205971
200th	302219658
20th	302212385
21	113770386 302196070
21st	302212492
22	113770507 302196164
22-karat gold	114663546
22nd	302212601
23	113770633 302196259
23rd	302212714
24	113770762 302196359
24-hour interval	115180180
24-karat gold	114663645
24/7	115142953
24th	302212827
25	113770903 302196456
25th	302212940
26	113771030 302196552
26th	302213053
27	113771157 302196647
27th	302213165
28	113771286 302196747
28th	302213279
29	113771418 302196848
29th	302213394
2d	302209815
2nd	302209815
2nd lieutenant	110588455
3	113766184 302194219
3-d	105948666 106631444
3-dimensional	300663996
3-hitter	100476414
3-membered	301506475
30	113771547 302196945
30 minutes	115252958
300	302206078
300th	302219777
30th	302213507
31	302197035
31st	302213616
32	302197130
32nd	302213725
33	302197226
33rd	302213842
34	302197327
34th	302213960
35	302197425
35th	302214078
36	302197522
365 days	115226966
366 days	115227065
36th	302214195
37	302197618
37th	302214311
38	302197719
38th	302214431
39	302197821
39th	302214550
3d	105948666 106631444
3d radar	104434694
3rd	302209976
3rd october organization	108033138
3tc	103641353
4	113766444 302194304
4-dimensional	300664333
4-hitter	100476546
4-membered	301506604
40	113771667 302197917
400	302206189
400th	302219900
401-k	105920154
401-k plan	105920154
40th	302214667
41	302198016
41st	302214774
42	302198108
42nd	302214888
43	302198201
43rd	302215003
44	302198299
440 yards	113673549
44th	302215119
45	302198394
45th	302215235
46	302198488
46th	302215350
47	302198581
47th	302215464
48	302198679
48th	302215582
49	302198778
49th	302215699
4th	302210112
4to	105104082
4wd	103394457 103394607
5	113766661 302194389
5-hitter	100476672
5-hydroxy-3-methylglutaryl-coenzyme a reductase	114636622
5-hydroxytryptamine	114832443
5-membered	301506731
50	113771784 302198871
500	113772852 302206300
500th	302220021
50th	302215814
51	302198975
52	302199066
53	302199158
54	302199255
55	302199349
55th	302215939
56	302199442
57	302199534
58	302199631
59	302199729
5th	302210381
6	113766862 302194472
6 june 1944	115187570
6-membered	301506858
60	113771918 302199823
60 minutes	115252642
60th	302216054
61	302199923
62	302200015
63	302200108
64	302200206
64th	302216161
65	302200301
65th	302216277
66	302200395
67	302200488
68	302200586
69	302200685
6th	302210523
7	113767056 302194609
7-membered	301507054
70	113772034 302200780
70th	302216392
71	302200888
72	302200985
73	302201083
74	302201186
75	302201286
75th	302216521
76	302201385
77	302201483
78	104185251 113772173 302201586
79	302201690
7th	302210648
8	113767226 302194712
8 may 1945	115187811
8-membered	301507183
80	113772304 302201790
80th	302216640
81	302201894
82	302201990
83	302202087
84	302202189
85	302202288
85th	302216749
86	302202386
87	302202483
88	302202585
880 yards	113673422
89	302202688
8th	302210792
8vo	105103670
9	113767410 302194800
9-11	115325294
9-membered	301507312
9/11	115325294
90	113772437 302202784
90th	302216866
91	302202873
92	302202967
93	302203062
94	302203162
95	302203259
95th	302216975
96	302203355
97	302203450
98	302203550
99	302203651
9th	302210918
a	105408203 106844227 113658855 113679721 114731050 114853735 115114370
a battery	102669254
a bit	400034050
a capella	302260096 400001740
a capella singing	100547107
a cappella	302260096 400001740
a cappella singing	100547107
a couple of	301557697
a few	301557697
a fortiori	400064021
a good deal	400059709
a great deal	400059709 400059951
a horizon	108676100
a hundred times	400361728
a kempis	110830422
a la carte	106509108 302462237 400259491
a la mode	300974685 400500380
a level	114454441
a little	400034050
a lot	400059709
a million times	400346455
a posteriori	300140394 300862537 400252994
a priori	300140180 300864296 400253080
a trifle	400034050
a'man	108363213
a-bomb	102756049
a-horizon	108676100
a-line	102700080
a-list	106497120
a-ok	301126669
a-okay	301126669
a-one	302349970
a-scan ultrasonography	100903806
a-team	108093871
a. a. michelson	111198383
a. a. milne	111200802
a. conan doyle	110926214
a. e. burnside	110893524
a. e. housman	111081729
a. e. kennelly	111121240
a. e. w. mason	111182905
a. noam chomsky	110916204
a. testudineus	102559004
a.d.	400001885
a.e.	111295025
a.k.a.	400271877
a.m.	300131590 400252773
a/c	104047719
aa	106710698 108026923 114955610
aaa	114129938
aachen	108787272
aah	200867440
aaland islands	108798362
aalborg	108780076
aalii	112761727
aalst	108869655
aalto	110826297
aar	109208961
aardvark	102085443
aardwolf	102120828
aare	109208961
aare river	109208961
aarhus	108779937
aaron	110826445 110826620
aaron burr	110893749
aaron copland	110929681
aaron montgomery ward	111393892
aaron's rod	112910473
aarp	108504159
